file_id,filename,doc_type,reason
SRC353,Financials_IMCO_Annual_Report_2024.pdf,Institutional_Report,institutional investment manager annual report covers performance clients governance and financials
SRC354,Financials_UTIMCO_Permanent_University_Fund_FY2025_Audited.pdf,Financials,audited Permanent University Fund financial statements and independent auditor report
SRC355,Financials_UTIMCO_Permanent_Health_Fund_GEF_FY2025_Audited.pdf,Financials,audited Permanent Health Fund financial statements and independent auditor report
SRC356,Reporting_UTIMCO_PUF_SemiAnnual_Specified_Data_Jun2025.pdf,Institutional_Report,semi-annual statutory endowment disclosure reports holdings performance and asset allocation
SRC357,Performance_UTIMCO_Annual_Report_2025.pdf,Institutional_Report,UTIMCO annual report covers endowment portfolios governance and investment performance
SRC358,Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2022.pdf,Schedule_Inv,detail schedules list investment securities with cost and fair value
SRC359,Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2021.pdf,Schedule_Inv,detail schedules list investment securities with cost and fair value
SRC360,Financials_Indiana_University_Foundation_FY2025_Audited.pdf,Financials,audited university foundation financial statements and independent auditor report
SRC361,Financials_University_of_Illinois_Foundation_FY2025_Audited.pdf,Financials,audited university foundation financial statements and independent auditor report
SRC362,Financials_Emory_University_FY2025_Audited.pdf,Financials,audited university financial statements and independent auditor report
SRC363,Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024.pdf,Performance,endowment fund profile presents investment performance and asset allocation tables
SRC364,Financials_Cornell_University_FY2025_Consolidated.pdf,Financials,consolidated university financial statements with independent auditor report
SRC365,Financials_University_of_Washington_Annual_Report_FY2025.pdf,Financials,university financial report contains audited statements and notes
SRC367,Regulatory_Ford_Foundation_Form_990PF_2024.pdf,Foundations_Annual,Form 990-PF return of private foundation
SRC368,Financials_MacArthur_Foundation_Dec2024_Audited.pdf,Financials,audited foundation consolidated financial statements and independent auditor report
SRC369,Financials_Kresge_Foundation_Dec2023_Audited.pdf,Financials,audited foundation financial statements and independent auditor report
SRC370,Financials_Kresge_Foundation_Dec2021_Audited.pdf,Financials,audited foundation financial statements and independent auditor report
SRC371,Regulatory_Sloan_Foundation_Form_990PF_2024.pdf,Foundations_Annual,Form 990-PF return of private foundation
SRC372,Regulatory_Hewlett_Foundation_Form_990PF_2023.pdf,Foundations_Annual,Form 990-PF return of private foundation
SRC373,Regulatory_Packard_Foundation_Form_990PF_2023.pdf,Foundations_Annual,Form 990-PF return of private foundation
SRC375,Performance_UVIMCO_Long_Term_Pool_Annual_Report_2025_Highlights.pdf,Institutional_Report,UVIMCO annual report highlights endowment assets allocation and performance
SRC376,Financials_Gates_Foundation_Consolidated_Dec2024.pdf,Financials,consolidated foundation financial statements with independent auditor report
SRC377,Financials_Gates_Foundation_Trust_Dec2016.pdf,Financials,foundation trust financial statements with independent auditor report
SRC378,Financials_Duke_Endowment_Annual_Report_2024.pdf,Financials,annual report financials include grants assets and audited statements
SRC379,Financials_Duke_Endowment_Annual_Report_2023.pdf,Financials,financials annual report includes CPA report and financial statements
SRC380,Financials_J_Paul_Getty_Trust_FY2023_Audited.pdf,Financials,audited trust financial statements and independent auditor report
SRC381,Financials_J_Paul_Getty_Trust_FY2022_Audited.pdf,Financials,audited trust financial statements and independent auditor report
SRC382,Financials_J_Paul_Getty_Trust_FY2009_Audited.pdf,Financials,audited trust financial statements and independent auditor report
SRC383,Performance_University_of_California_Annual_Endowment_Report_FY2025.pdf,Institutional_Report,annual endowment report covers performance allocation risk and policy
SRC384,Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf,Quarterly_Report,discussion item reviews third-quarter fiscal-year investment performance
SRC385,Performance_University_of_California_Annual_Endowment_Report_FY2015.pdf,Institutional_Report,annual endowment report covers performance policies and consultant review
SRC386,Financials_University_of_Notre_Dame_FY2025_Consolidated.pdf,Financials,consolidated university financial statements with independent auditor report
SRC387,Financials_Washington_University_StLouis_FY2025_Consolidated.pdf,Financials,consolidated university financial statements with independent auditor report
SRC388,Financials_University_of_Notre_Dame_FY2024_Consolidated.pdf,Financials,consolidated university financial statements with independent auditor report
SRC389,Performance_University_of_South_Carolina_Foundations_Endowment_Report_FY2025.pdf,Institutional_Report,annual endowment report covers portfolio returns investments and foundation assets
SRC390,Financials_FAU_Foundation_FY2024_Board_Audit_Committee.pdf,Financials,board audit package presents audited foundation financial statements
SRC391,Financials_University_of_Minnesota_Foundation_FY2025_Audited.pdf,Financials,consolidated foundation financial statements with independent auditor report
SRC392,Financials_Ohio_State_University_Foundation_FY2024_Audited.pdf,Financials,basic foundation financial statements with independent auditors reports
SRC393,Financials_Georgia_Tech_Foundation_FY2025_Consolidated.pdf,Financials,consolidated foundation financial statements with independent auditor report
SRC394,Financials_NC_State_University_Foundation_FY2023_Audited.pdf,Financials,consolidated foundation financial report with independent auditors report
SRC395,Performance_UWM_Foundation_Annual_Report_2024.pdf,Institutional_Report,foundation annual report covers endowment assets distributions fundraising and governance
SRC396,Schedule_Inv_AB_Private_Lending_Fund_ARS_FY2025.pdf,Financials,Form 10-K annual report includes audited fund financial statements
SRC397,Schedule_Inv_Ares_Strategic_Income_Fund_ARS_FY2025.pdf,Financials,Form 10-K annual report includes audited fund financial statements
SRC398,Schedule_Inv_BlackRock_Direct_Lending_Corp_ARS_FY2025.pdf,Financials,Form 10-K annual report includes audited fund financial statements
SRC399,Schedule_Inv_BlackRock_Private_Credit_Fund_ARS_FY2025.pdf,Financials,Form 10-K annual report includes audited fund financial statements
SRC400,Financials_Cohen_Steers_Income_Opportunities_REIT_ARS_FY2025.pdf,Financials,annual report Form 10-K includes portfolio and audited financial statements
SRC401,Financials_Apollo_Realty_Income_Solutions_ARS_FY2025.pdf,Financials,Form 10-K annual report includes audited real estate financial statements
SRC402,Schedule_Inv_Venture_Lending_Leasing_IX_ARS_FY2025.pdf,Financials,Form 10-K annual report includes BDC audited financial statements
SRC403,Schedule_Inv_CNL_Strategic_Residential_Credit_ARS_FY2025.pdf,Financials,annual report encloses Form 10-K and consolidated financial statements
SRC404,Schedule_Inv_Cliffwater_Corporate_Lending_Fund_Annual_FY2026Mar.pdf,Financials,annual fund report includes audited statements and investment schedules
SRC405,Schedule_Inv_Cliffwater_Enhanced_Lending_Fund_Annual_FY2026Mar.pdf,Financials,annual fund report includes audited statements and investment schedules
SRC406,Schedule_Inv_Pomona_Investment_Fund_SemiAnnual_Sep2025.pdf,Financials,semi-annual report contains investment schedule and consolidated financial statements
SRC407,Schedule_Inv_Pomona_Investment_Fund_Holdings_Dec2025.pdf,Schedule_Inv,consolidated schedule lists private equity holdings cost and fair value
SRC408,Schedule_Inv_AMG_Pantheon_Fund_Annual_FY2024Mar.pdf,Financials,annual report contents center financial statements and independent auditor
SRC409,Schedule_Inv_AMG_Pantheon_Fund_Annual_FY2023Mar.pdf,Financials,annual report contents center financial statements and independent auditor
SRC410,Schedule_Inv_AMG_Pantheon_Credit_Solutions_SemiAnnual_Sep2024.pdf,Financials,cover states semi-annual financial statements with consolidated fund accounts
SRC411,Financials_Hamilton_Lane_Private_Assets_Fund_Annual_FY2022Mar.pdf,Financials,cover states financial statements and contents include audited consolidated accounts
SRC412,DDQ_Hamilton_Lane_Global_Private_Assets_Fund_May2025.pdf,DDQ,cover states Due Diligence Package with fund terms and manager sections
SRC413,Schedule_Inv_StepStone_Private_Markets_SPRIM_Annual_FY2026Mar.pdf,Financials,cover states consolidated financial statements and annual report
SRC414,Financials_Partners_Group_Private_Equity_Limited_Annual_2024.pdf,Financials,annual report contains audited consolidated financial statements and auditor report
SRC415,Schedule_Inv_Bow_River_Capital_Evergreen_Fund_Annual_FY2025Mar.pdf,Financials,annual fund report contains investment schedule and audited financial statements
SRC416,Performance_Bow_River_Capital_Evergreen_Fund_Factsheet_Dec2025.pdf,Performance,fact card reports monthly returns annualized performance and drawdown
SRC417,Schedule_Inv_Variant_Alternative_Income_Fund_Annual_FY2025Apr.pdf,Financials,annual report provides audited fund financial statements and investment schedule
SRC418,Schedule_Inv_Variant_Alternative_Income_Fund_Annual_FY2021Apr.pdf,Financials,annual report provides audited fund financial statements and investment schedule
SRC419,Schedule_Inv_Variant_Alternative_Lending_Fund_Annual_FY2025Apr.pdf,Financials,annual report provides audited fund financial statements and investment schedule
SRC420,Schedule_Inv_Apollo_S3_Private_Markets_Fund_NCSR_FY2025Mar.pdf,Financials,Form N-CSR certified annual shareholder report contains audited financial statements
SRC421,PPM_Apollo_S3_Private_Markets_Fund_Prospectus.pdf,PPM,Form N-2 registration statement and prospectus for continuous public offering
SRC422,Financials_Ares_Industrial_Real_Estate_Income_Trust_ARS_FY2025.pdf,Financials,annual Form 10-K includes audited real estate trust financial statements
SRC423,Financials_IPC_Alternative_Real_Estate_Income_Trust_ARS_FY2025.pdf,Financials,annual Form 10-K includes audited real estate trust financial statements
SRC424,Schedule_Inv_Invesco_Commercial_Real_Estate_Finance_Trust_ARS_FY2025.pdf,Financials,Form 10-K annual report includes real estate finance financial statements
SRC425,Financials_XPLR_Infrastructure_LP_ARS_FY2025.pdf,Financials,annual Form 10-K includes audited infrastructure partnership financial statements
SRC426,Financials_KPMG_Hedge_Funds_Illustrative_Jan2023_FY2022.pdf,Financials,illustrative hedge fund financial statements under US GAAP
SRC427,Financials_KPMG_Hedge_Funds_Illustrative_Dec2024_FY2024.pdf,Financials,illustrative hedge fund financial statements under US GAAP
SRC428,Financials_KPMG_Private_Equity_Illustrative_Jan2024_FY2023.pdf,Financials,illustrative private equity fund financial statements under US GAAP
SRC429,Financials_KPMG_Private_Equity_Illustrative_Nov2016_FY2016.pdf,Financials,illustrative private equity fund financial statements under US GAAP
SRC430,Financials_KPMG_PE_And_Venture_Capital_Illustrative_Dec2015.pdf,Financials,illustrative private equity venture capital financial statements under US GAAP
