source_id,claim_type,source_kind,source,locator,finding,qualification,checked_date
W01,ESTABLISHED,official-documentation,https://platform.claude.com/docs/en/build-with-claude/structured-outputs,JSON outputs; invalid outputs; feature compatibility,Structured responses use output_config.format. Local validation must still handle refusal and token-limit truncation.,Schema compliance is not factual correctness. Check account/model/SDK support when implementing.,2026-09-08
W02,ESTABLISHED,official-documentation,https://platform.claude.com/docs/en/build-with-claude/citations,Feature compatibility,Native document citations and strict structured JSON outputs cannot be enabled together in the same request.,The proposed adapter instead returns local evidence IDs in JSON and verifies those IDs.,2026-09-08
W03,ESTABLISHED,industry-primary-source,https://ilpa.org/industry-guidance/templates-standards-model-documents/ilpa-templates-hub/ilpa-performance-template/,About the Template,The performance template distinguishes fund-to-investor and fund-to-investment cash-flow methodologies.,Methodology reference only; no claim that the project implements the complete template.,2026-09-08
W04,ESTABLISHED,industry-primary-source,https://ilpa.org/news/how-we-got-to-new-reporting-standards/,2025 Performance Template features,ILPA separates gross/net performance and performance with/without fund-level subscription facilities.,"Supports preserving measurement comparability, not a particular GP score formula or the proposed weights.",2026-09-08
W05,ESTABLISHED,official-documentation,https://openrouter.ai/google/gemini-3.8-flash,Model page and API parameters,"OpenRouter model ID is google/gemini-3.8-flash; the model supports structured outputs through response_format; listed standard price is $0.75/M input and $3.75/M output.",Price and availability can change; live use requires policy review before changing a declared model price.,2026-09-09
W06,ESTABLISHED,official-documentation,https://openrouter.ai/blog/insights/model-routing/,provider object routing controls,"OpenRouter provider routing supports zdr, data_collection, allow_fallbacks, require_parameters, only/order and other per-request controls.","The implementation uses ZDR and data-collection denial with provider fallback disabled; these controls govern OpenRouter routing, not the direct Anthropic path.",2026-09-09
W07,ESTABLISHED,official-documentation,https://platform.claude.com/docs/en/build-with-claude/structured-outputs,JSON outputs quick start and compatibility,"Anthropic direct Messages API supports JSON-schema structured output through output_config.format on Claude Sonnet 5 and other supported models.",Schema compliance does not establish factual correctness; local evidence-ID validation remains required.,2026-09-09
W08,ESTABLISHED,official-documentation,https://platform.claude.com/docs/en/about-claude/pricing,Claude Sonnet 5 pricing table,Claude Sonnet 5 standard API pricing is $2/M input and $10/M output.,Price is used only for the declared budget gate and must be rechecked if policy changes.,2026-09-09
W09,ESTABLISHED,industry-primary-source,https://www.msci.com/data-and-analytics/private-asset-solutions/private-capital-transparency,Value creation,"MSCI lists revenue, profit margin, valuation multiple, debt and currency as holding-level return drivers.",The GP example applies explicit hypothetical changes to current fictional holdings; it does not implement or validate MSCI historical attribution.,2026-09-12
W10,ESTABLISHED,research-primary-source,https://www.sciencedirect.com/science/article/pii/S0929119923000093,Abstract; DOI 10.1016/j.jcorpfin.2023.102360,"Gredil, Griffiths and Stucke describe Direct Alpha as an annualized excess-return measure for private-equity investments.",Publisher abstract verified; effective and continuous conventions are separately labelled in the dashboard. No risk-adjusted skill claim.,2026-09-12
