"item_id","sprint","work","depends_on","outputs","acceptance","source","audit_ids","status","evidence"
"V3-05","Events and holdings","Generate operating histories and dated cash events before portfolio values","V3-02;V3-03;V3-04;V3-07","population/company_financials.csv;population/investment_events.csv;population/investor_events.csv;population/fund_balances.csv;population/fund_periods.csv;population/fund_cashflows.csv","Entry/follow-on/exit/write-off/cash retention/fee/debt examples exist; investment cost rolls forward; private credit and fund interests do not use the company-equity formula; source facts untouched","src/generate/generate_synthetic_funds.py;GP-Scoring/v2_analysis.py;GP-Scoring/generate_v2_cases.py","G03;G08","READY",""
"V3-08","Events and holdings","Generate and analyze supported indirect ownership paths","V3-05;V3-06","population/lookthrough_edge.csv;exposure calculations and tests","Economic weights differ from observed coverage; full/partial/unknown cases exist; cycles and duplicated parent-plus-child value refused; unknown residual remains identifiable","Expansion/holdings/normalized_holdings_ddl.sql;GP-Scoring/v2_features.py","G14","READY",""
"V3-09","Events and holdings","Reconcile investment values fund cash NAV and investor returns","V3-05;V3-08","accounting calculations;population reconciliation results;regression tests","Assets minus liabilities equals NAV; cash and cost rollforwards close; investment receipts need not equal investor distributions; net/gross returns use correct events; hand-calculated boundary cases pass","GP-Scoring/v2_analysis.py;GP-Scoring/v2_features.py;src/common/finance.py","G08","READY",""
"V3-24","Events and holdings","Publish population-aware analytical tables and a consumed read-only warehouse","V3-09","04-diagnostics/assessment.duckdb;CSV exports;query views;field-origin references","CSV/database keys counts and values match; every view has a dashboard or RAG reader; no write to parent warehouses for add-on simulation; input scope dates units and population retained","RAG/src/alts_rag/analytics.py;GP-Scoring/run_v2.py;sql/duckdb/02_fund_level_ddl.sql","G07;G14;G17","READY",""
"V3-26","Events and holdings","Build source-supported completion and calibration without replacing reported cells","V3-09;V3-20;V3-24","population/completion.csv;04-diagnostics/source-comparison.csv;calibration tests","Each completed cell cites source anchor and simulation method; observed cells survive unchanged; totals reconcile or show explicit unknown residual; source-only and source-completed populations cannot form a blended rank","TODO.md;Expansion/EXPANSION-LEDGER.md;data/integrated/","G17","READY",""
"V3-10","Analytics","Calculate fund-size discipline and capacity diagnostics","V3-02;V3-03;V3-09","04-diagnostics/fund-diagnostics.csv;manager-diagnostics.csv;metric policy rows","Size steps use valid predecessor and currency; first-time/mismatched cases stay unknown; AUM workload basis stated; size-peer coverage and rank sensitivity reported","GP-Scoring/v2_features.py;GP-Scoring/04-diagnostics/fund-diagnostics.csv","G04;G10","READY",""
"V3-11","Analytics","Calculate manager experience and attributable team continuity","V3-02;V3-09","04-diagnostics/genealogy.csv;manager-diagnostics.csv;metric policy rows","Fund sequence uses mandate history; same-vintage ambiguity visible; years of experience and firm age differ; first-time status alone awards no points","GP-Scoring/v2_features.py;GP-Scoring/data/deal-attribution.csv","G04;G10","READY",""
"V3-12","Analytics","Calculate mandate drift and dated sector/geography concentration","V3-03;V3-08","04-diagnostics/exposure.csv;metric policy rows","Drift matches half the absolute weight differences; unclassified/partial exposure remains visible; current marks and look-through do not double count; geography coverage reported","GP-Scoring/v2_features.py;Expansion/EXPANSION-LEDGER.md","G14","READY",""
"V3-13","Analytics","Generalize company gains losses exit accuracy and value decomposition","V3-09","04-diagnostics/company-diagnostics.csv;deal-diagnostics.csv;contribution tables","Completed loss differs from mark loss; partial exits match disposed cost; winner removal recomputes both numerator and denominator; effects sum to change; all values trace to events","GP-Scoring/v2_analysis.py;GP-Scoring/v2_diligence.py","G03;G08","READY",""
"V3-14","Analytics","Add secondary-fund obligations valuation-age and market-comparison diagnostics","V3-08;V3-19","04-diagnostics/secondary-diagnostics.csv;metric policy rows","Unfunded/NAV ratios use matched date/currency; concentration uses economic weights; source-segment price statistics retain provenance and do not become individual fund valuations","Expansion/EXPANSION-LEDGER.md;GP-Scoring/population/secondary_market_statistics.csv","G13;G14","READY",""
"V3-15","Analytics","Implement named score policies with defined components and missingness","V3-10;V3-11;V3-12;V3-13;V3-14","policies/score-components.csv;policies/metric-definitions.csv;04-diagnostics/score-contributions.csv;scorecards","Legacy results exact; current 60/40 labelled as new population; five categories optional and complete only with required inputs; contributions sum; ties and peer exclusions correct; overlapping-input sensitivity measured","GP-Scoring/scoring.py;GP-Scoring/v2-policy.json;GP-Scoring/v2_features.py","G07;G10;G11","READY",""
"V3-16","Scenarios and interface","Implement instrument-specific operating market FX funding and timing scenarios","V3-13;V3-19","policies/scenario-rules.csv;policies/proxy-mappings.csv;05-scenarios/ outputs","Zero shock reproduces baseline; company changes reconcile to fund balances; missing market coverage gives no quote; dates/rights honored; historic cash unmodified; proxy adjustment labelled scenario","GP-Scoring/v2_stress.py;GP-Scoring/v2_analysis.py;data/public_markets/README.md;data/integrated/benchmark-policy.csv","G08;G12","READY",""
"V3-17","Scenarios and interface","Wire browser controls to the shared definitions and recalculated comparisons","V3-15;V3-16;V3-24","06-report/dashboard.html;bounded report data;browser calculation tests","Each control has demonstrated effects; display and peer filters differ; shocked values get rebuilt percentiles/ranks; browser/Python parity; policy export/import valid; no static-browser file writes","GP-Scoring/v2_dashboard.py;GP-Scoring/scoring.py","G15;G16","READY",""
"V3-18","Scenarios and interface","Complete manager fund company and deal views with clear eligibility and evidence","V3-17","06-report/dashboard.html;source/CSV downloads;view and link tests","All views work on desktop/narrow screens; labels dates units origins and reasons present; All is strategy-specific unless an explicit strategy control changes it; correct PDF pages open; no unwanted print one-pager restored","GP-Scoring/v2_dashboard.py;src/dashboard/build_dashboard.py","G01;G03;G15","READY",""
"V3-25","Scenarios and interface","Add source-checked question answering over RAG and analytical queries","V3-18;V3-24","RAG query integration;evidence packets;GP question UI;offline adapter tests","Keyword search works without new user credentials; allowlisted queries use exact population/entity/date; fabricated values and wrong citations refused; fake-provider tests pass; live-provider tests remain pending approval","RAG/src/alts_rag/gp_scoring.py;RAG/src/alts_rag/analytics.py;RAG/src/alts_rag/service.py;Expansion/EXPANSION-LEDGER.md","G17","READY",""
"V3-21","Closeout","Complete regression recovery documentation and local publication","V3-22;V3-23;V3-01;V3-02;V3-03;V3-04;V3-05;V3-06;V3-07;V3-08;V3-09;V3-10;V3-11;V3-12;V3-13;V3-14;V3-15;V3-16;V3-17;V3-18;V3-19;V3-20;V3-24;V3-25;V3-26","Current GP/main dashboards;README and PROCESS updates;manifest/lineage;checks and receipt;execution evidence","All required tasks have real evidence; legacy and affected parent regressions pass; interrupted publish recovers; performance measured; no live API or Git writes; external pending work reported without false completion","GP-Scoring/tests/;tests/;src/repository/release_audit.py;src/repository/check_project_structure.py","G06;G07;G15;G16;G17","READY",""
