sample_order,file_id,filename,page_count,issuer,review_status,record_groups_observed,new_candidate_fields,new_extension_structures,important_tables_or_sections,notes
13,SRC435,Financials_PwC_Cayman_IFRS_Investment_Funds_Illustrative_2024.pdf,88,PricewaterhouseCoopers (Cayman Islands),COMPLETE,report_context | statement_line | investment_position | financing,,,Illustrative statements pp11-14; risk/derivative exposures pp22-31; FV hierarchy and unobservable inputs pp33-39; holdings/derivatives pp40-43; fund-of-funds NAV/redemption pp55-59; leverage appendix pp60-61,"Complete TXT read all 88 pages via full-page mapper with core and appendices reread. Structural evidence for derivatives, Level-3 inputs/sensitivities, fund-of-funds liquidity terms and borrowing facilities. No new valuation-input fields added: reusable statement-line label/value/column structure is sufficient."
14,SRC440,Financials_PwC_Investment_Property_IFRS_Illustrative_Consolidated_2024.pdf,99,PricewaterhouseCoopers Global,COMPLETE,report_context | statement_line | investment_position | financing | portfolio_metric(candidate),,operating_metric candidate independently reinforced,Statements pp8-24; currency/debt/liquidity pp50-64; segment revenue/profit/assets pp67-69; investment property rollforward pp72-75; Level-3 rental/discount/cap-rate inputs pp76-78; borrowings p88; acquisitions pp91-93; commitments p94,"Complete TXT read all 99 pages via full-page mapper and detailed reread. Illustrative real-estate company data. Segment/property operating metrics constitute a third independent recurring operating-metric structure; acquisition/deal facts remain representable using generic investment and statement records, avoiding a new deal schema."
15,SRC426,Financials_KPMG_Hedge_Funds_Illustrative_Jan2023_FY2022.pdf,113,KPMG LLP (US),COMPLETE,report_context | statement_line | investment_position | financing | capital_activity,,,Core statements/investment schedules pp5-14; FV hierarchy/input tables pp30-34; collateral/secured financing pp45-50; partner capital/commitments/fees pp51-56; private investment companies pp96-100,"Complete TXT read all 113 pages via full-page mapper with core investment/financing/private-investee pages reread. Illustrative/template values. Private investment companies provide fair value, NAV weight, unfunded commitments, investee strategy, notice/redemption restrictions and underlying-position look-through."
16,SRC207,Financials_Michigan_MSERS_ACFR_FY2025.pdf,118,Michigan Office of the Auditor General / Michigan State Employees' Retirement System (SMRS),COMPLETE,report_context | statement_line | investment_position | financing,,,Basic statements pp23-27; investment authority/derivatives pp45-47; FV/NAV private investments pp52-55; investment expenses p66; asset allocation/private equity pp71-83,"Complete TXT read all 118 pages via full-page mapper with investment/FV/fee pages reread. Institutional allocator disclosures: PE $4.5bn NAV and $1.4bn unfunded across ~300 partnerships; RE/infrastructure, absolute return/private credit and liquidity restrictions. Expense schedules remain generic statement lines."
17,SRC409,Schedule_Inv_AMG_Pantheon_Fund_Annual_FY2023Mar.pdf,124,"AMG Pantheon Fund, LLC",COMPLETE,report_context | statement_line | investment_position | financing | capital_activity,,,Master Fund investment schedule pp35-48; FV/Level3 pp46-48; private-investment accounting pp54-68; NAV/unfunded/redemption attributes p66; revolving credit pp67-68,"Complete TXT read all 124 pages via full-page mapper with full investment/FV/credit sections reread. Hundreds of co-investments, primary/secondary PE funds, acquisition dates, geography/sector, cost/FV, NAV weight, unfunded commitments and nonredeemable lives strongly reinforce investment_position."
18,SRC280,Financials_InPoint_Commercial_RE_Income_Annual_Report_FY2024.pdf,130,"InPoint Commercial Real Estate Income, Inc.",COMPLETE,report_context | statement_line | investment_position | financing | portfolio_metric,,,Loan portfolio pp52-58; 25-loan term/risk table p55; operations/expenses pp61-64; borrowing facilities pp65-67; audited statements pp93-97; loan accounting/CECL pp100-110; facilities pp111-113; commitments/related-party pp120-122; FV p123-124; REO acquisitions/operating data pp124-126; Schedule IV loans pp128-129,Complete TXT read all 130 pages via full-page mapper plus direct reread of loan/financing/audited-note sections. Existing PNG p55/p128 inspected via read-only OCR/layout; table columns verified. Debt-investment coupon/yield/maturity/LTV/risk remain generic table-cell facts pending broader recurrence; entity financing stays separate.
19,SRC106,Financials_Tetragon_Financial_Group_Annual2022.pdf,136,Tetragon Financial Group Limited,COMPLETE,report_context | statement_line | investment_position | financing | portfolio_metric,,,NAV composition/investment review pp27-39; TFG asset-manager AUM/operations pp66-74; CLO transaction metrics pp86-88; statements pp100-103; FV/Level3 pp108-118; credit/liquidity pp119-124; credit facility p128,"Complete TXT read all 136 pages via full-page mapper with detailed investment, manager-operating, CLO, FV and financing sections reread. AUM, fee income, EBITDA, manager growth and CLO spread/O-C/IRR metrics strengthen generalized operating_metric extension; no AUM/CLO-specific schema fields added."
20,SRC271,Financials_RREEF_Property_Trust_Annual_Report_FY2025.pdf,140,"RREEF Property Trust, Inc.",COMPLETE,report_context | statement_line | investment_position | financing | portfolio_metric,,,Portfolio/operating overview pp1-4; property inventory p56; lease/tenant tables pp57-58; public REIT securities p64; appraisal/FV assumptions pp70-73; financing/debt p76-78; statements pp97-102; FV hierarchy/loan FV pp110-111; rent/tenant/borrowing notes pp114-119; adviser fees p123; per-share/class data pp128-129; segment/property/securities/loan tables pp133-137,"Complete 140-page source review. Original TXT pp5-140 had broken embedded-font CID mapping; same-PDF font substitution map was empirically learned from OCR pages and used to decode all pages. Original PNG p56, p77, p136 checked for load-bearing table layout. No sample substitution. Strong property operations + financing + investment-position evidence."
21,SRC228,Financials_Sculptor_Diversified_Real_Estate_Income_Trust_ARS_FY2025.pdf,144,"Sculptor Diversified Real Estate Income Trust, Inc.",PENDING,,,,,
22,SRC232,Financials_Franklin_BSP_Realty_Trust_ARS_FY2025.pdf,149,"Franklin BSP Realty Trust, Inc.",PENDING,,,,,
23,SRC231,Financials_Starwood_Real_Estate_Income_Trust_ARS_FY2025.pdf,157,"Starwood Real Estate Income Trust, Inc. (SREIT)",PENDING,,,,,
24,SRC400,Financials_Cohen_Steers_Income_Opportunities_REIT_ARS_FY2025.pdf,160,"Cohen & Steers Income Opportunities REIT, Inc.",PENDING,,,,,
25,SRC047,Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf,172,BlackRock TCP Capital Corp. (TCPC),PENDING,,,,,
26,SRC227,Schedule_Inv_CNL_Strategic_Capital_LLC_ARS_FY2025.pdf,179,"CNL Strategic Capital, LLC",PENDING,,,,,
27,SRC244,Schedule_Inv_Monroe_Capital_Income_Plus_Corp_ARS_FY2023.pdf,188,Monroe Capital Income Plus Corporation,PENDING,,,,,
28,SRC270,Financials_INREIT_Invesco_Real_Estate_Income_Trust_Annual_Report_FY2025.pdf,200,Invesco Real Estate Income Trust Inc.,PENDING,,,,,
29,SRC290,Financials_3i_Group_Annual_Report_FY2025_Mar.pdf,220,3i Group plc,PENDING,,,,,
30,SRC397,Schedule_Inv_Ares_Strategic_Income_Fund_ARS_FY2025.pdf,264,Ares Strategic Income Fund,PENDING,,,,,
