owner_id,owner_kind,owner_role,canonical_name,source_entity_id,owner_fund_id,parent_owner_id,identity_status,identity_confidence,identity_confidence_basis,identity_confidence_reason,decision_id,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
OWNER_FUND_0016,fund,REPORTING_FUND,"Epic Venture Fund V, L.P.",FUND_0016,FUND_0016,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0017,fund,REPORTING_FUND,"Epic Ventures VI, L.P.",FUND_0017,FUND_0017,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0018,fund,REPORTING_FUND,"Fluke Venture Partners II, L.P.",FUND_0018,FUND_0018,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0019,fund,REPORTING_FUND,"Founders' Co-op III, L.P.",FUND_0019,FUND_0019,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0020,fund,REPORTING_FUND,"Founders’ Co-op IV, L.P.",FUND_0020,FUND_0020,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0021,fund,REPORTING_FUND,"Goode Partners Consumer Fund III, L.P.",FUND_0021,FUND_0021,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0022,fund,REPORTING_FUND,"Grain Communications Opportunity Fund III, L.P.",FUND_0022,FUND_0022,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0023,fund,REPORTING_FUND,"Homestead Capital USA Farmland Fund III, L.P.",FUND_0023,FUND_0023,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0024,fund,REPORTING_FUND,"K1 Special Opportunities Fund, L.P.",FUND_0024,FUND_0024,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0025,fund,REPORTING_FUND,"K4 Private Investors, L.P.",FUND_0025,FUND_0025,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0026,fund,REPORTING_FUND,"K5 Private Investors, L.P.",FUND_0026,FUND_0026,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0027,fund,REPORTING_FUND,"Madrona Venture Fund III, L.P.",FUND_0027,FUND_0027,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0028,fund,REPORTING_FUND,"Montlake Capital II, L.P.",FUND_0028,FUND_0028,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0029,fund,REPORTING_FUND,"Northwest Technology Ventures, L.P.",FUND_0029,FUND_0029,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0030,fund,REPORTING_FUND,Oregon Angel Conferences 2011,FUND_0030,FUND_0030,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0031,fund,REPORTING_FUND,Oregon Angel Conferences 2012,FUND_0031,FUND_0031,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0032,fund,REPORTING_FUND,Oregon Angel Conferences 2013,FUND_0032,FUND_0032,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0033,fund,REPORTING_FUND,Oregon Angel Conferences 2014,FUND_0033,FUND_0033,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0034,fund,REPORTING_FUND,"Oregon Angel Fund 2008, LLC",FUND_0034,FUND_0034,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0035,fund,REPORTING_FUND,"Oregon Angel Fund 2009, LLC",FUND_0035,FUND_0035,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0036,fund,REPORTING_FUND,"Oregon Angel Fund 2010, LLC",FUND_0036,FUND_0036,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0037,fund,REPORTING_FUND,"Oregon Angel Fund 2011, LLC",FUND_0037,FUND_0037,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0038,fund,REPORTING_FUND,"Oregon Angel Fund 2012, LLC",FUND_0038,FUND_0038,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0039,fund,REPORTING_FUND,"Oregon Angel Fund 2013, LLC",FUND_0039,FUND_0039,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0040,fund,REPORTING_FUND,"Oregon Angel Fund 2014, LLC",FUND_0040,FUND_0040,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0041,fund,REPORTING_FUND,"Oregon Angel Fund 2015, LLC",FUND_0041,FUND_0041,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0042,fund,REPORTING_FUND,"Oregon Angel Fund 2016, LLC",FUND_0042,FUND_0042,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0043,fund,REPORTING_FUND,"Oregon Angel Fund 2017, LLC",FUND_0043,FUND_0043,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0044,fund,REPORTING_FUND,"Oregon Venture Fund XII, LLC",FUND_0044,FUND_0044,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0045,fund,REPORTING_FUND,"OVP Venture Partners VII, L.P.",FUND_0045,FUND_0045,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0046,fund,REPORTING_FUND,"Phoenix Venture Partners II, L.P.",FUND_0046,FUND_0046,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0047,fund,REPORTING_FUND,"Phoenix Venture Partners III, L.P.",FUND_0047,FUND_0047,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0048,fund,REPORTING_FUND,"Phoenix Venture Partners, L.P.",FUND_0048,FUND_0048,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0049,fund,REPORTING_FUND,Pioneer Square Ventures Fund II,FUND_0049,FUND_0049,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0050,fund,REPORTING_FUND,"Pivotal Investments Partners Fund I, L.P.",FUND_0050,FUND_0050,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0051,fund,REPORTING_FUND,"Portland Seed Fund I, L.P.",FUND_0051,FUND_0051,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0052,fund,REPORTING_FUND,"Portland Seed Fund II, L.P.",FUND_0052,FUND_0052,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0053,fund,REPORTING_FUND,"Portland Seed Fund III, L.P.",FUND_0053,FUND_0053,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0054,fund,REPORTING_FUND,"Portland Seed Fund III - Side Car, L.P.",FUND_0054,FUND_0054,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0055,fund,REPORTING_FUND,Rethink Impact Fund II,FUND_0055,FUND_0055,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0056,fund,REPORTING_FUND,"Riverlake Equity Partners I, L.P.",FUND_0056,FUND_0056,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0057,fund,REPORTING_FUND,"Riverlake Equity Partners II, L.P.",FUND_0057,FUND_0057,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0058,fund,REPORTING_FUND,"Seven Peaks Ventures Fund II, L.P.",FUND_0058,FUND_0058,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0059,fund,REPORTING_FUND,"Seven Peaks Ventures Fund, L.P.",FUND_0059,FUND_0059,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0060,fund,REPORTING_FUND,"SmartForest Ventures I, L.P.",FUND_0060,FUND_0060,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0061,fund,REPORTING_FUND,Stellex Capital Partners II,FUND_0061,FUND_0061,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0062,fund,REPORTING_FUND,"Tamarack Mezzanine Partners, L.P.",FUND_0062,FUND_0062,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0063,fund,REPORTING_FUND,"Timberline Annex Fund, L.P.",FUND_0063,FUND_0063,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0064,fund,REPORTING_FUND,"Timberline Venture Partners, L.P.",FUND_0064,FUND_0064,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0065,fund,REPORTING_FUND,"Tiverton AgriFinance II, L.P.",FUND_0065,FUND_0065,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0066,fund,REPORTING_FUND,"TL Ventures VII, L.P.",FUND_0066,FUND_0066,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0067,fund,REPORTING_FUND,"Updata Partners V, L.P.",FUND_0067,FUND_0067,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0068,fund,REPORTING_FUND,"Updata Partners VI, L.P.",FUND_0068,FUND_0068,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0069,fund,REPORTING_FUND,"VamosVentures Fund I, L.P.",FUND_0069,FUND_0069,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0070,fund,REPORTING_FUND,"VFC - Burnside Fund, L.P.",FUND_0070,FUND_0070,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0071,fund,REPORTING_FUND,"Voyager Capital Fund IV, L.P.",FUND_0071,FUND_0071,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0072,fund,REPORTING_FUND,"Voyager Capital Fund V, L.P.",FUND_0072,FUND_0072,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,3,,,ACTIVE,
OWNER_FUND_0073,fund,REPORTING_FUND,"Women's VC Fund II, L.P.",FUND_0073,FUND_0073,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0074,fund,REPORTING_FUND,"Women's Venture Capital Fund, L.P.",FUND_0074,FUND_0074,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,2,,,ACTIVE,
OWNER_FUND_0075,fund,REPORTING_FUND,"Yaletown Ventures II (USA), L.P.",FUND_0075,FUND_0075,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC035,1,,,ACTIVE,
OWNER_FUND_0076,fund,REPORTING_FUND,"Allos Ventures II, L.P.",FUND_0076,FUND_0076,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0077,fund,REPORTING_FUND,"Arboretum Ventures IIa, L.P.",FUND_0077,FUND_0077,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0078,fund,REPORTING_FUND,"Arsenal Venture Partners IIa, L.P.",FUND_0078,FUND_0078,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0079,fund,REPORTING_FUND,Arsenal Ventures IIa,FUND_0079,FUND_0079,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,17,,,ACTIVE,
OWNER_FUND_0080,fund,REPORTING_FUND,"Athenian Venture Partners III, L.P.",FUND_0080,FUND_0080,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0081,fund,REPORTING_FUND,"Charter Life Sciences (Ohio) II, L.P.",FUND_0081,FUND_0081,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0082,fund,REPORTING_FUND,"Chrysalis Ventures (Ohio) III, L.P.",FUND_0082,FUND_0082,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0083,fund,REPORTING_FUND,Draper Triangle III,FUND_0083,FUND_0083,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,17,,,ACTIVE,
OWNER_FUND_0084,fund,REPORTING_FUND,"Draper Triangle Ohio Ventures, L.P.",FUND_0084,FUND_0084,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0085,fund,REPORTING_FUND,"Draper Triangle Ventures Ohio III, L.P.",FUND_0085,FUND_0085,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0086,fund,REPORTING_FUND,"Early Stage Partners Fund II, L.P.",FUND_0086,FUND_0086,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0087,fund,REPORTING_FUND,Early Stage Partners II,FUND_0087,FUND_0087,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,17,,,ACTIVE,
OWNER_FUND_0088,fund,REPORTING_FUND,"Early Stage Partners II, L.P.",FUND_0088,FUND_0088,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,3,,,ACTIVE,
OWNER_FUND_0089,fund,REPORTING_FUND,"Edison Venture Fund VII, L.P.",FUND_0089,FUND_0089,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0090,fund,REPORTING_FUND,"Edison Venture Fund VIII, L.P.",FUND_0090,FUND_0090,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
OWNER_FUND_0091,fund,REPORTING_FUND,Edison VII AF I,FUND_0091,FUND_0091,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,17,,,ACTIVE,
OWNER_FUND_0092,fund,REPORTING_FUND,"Emerging Market Fund, LLC",FUND_0092,FUND_0092,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,DERIVED,SRC036,16,,,ACTIVE,
