fund_term_clause_id,fund_id,lp_id,lp_name,share_class_name,perspective,term_scope,overrides_fund_term_id,effective_date,effective_end_date,source_document_id,metric_id,clause_title,value_raw,value_text,currency,provenance_type,source_page,source_anchor,extractor_version,synthetic_parameter_set_id,record_status
CLAUSEINT_9F5A7D6A76035987535F,FUND_0012,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_433D81E9097E92445759,FUND_0013,,,,fund_total,base_fund,,2000-01-01,2012-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_0E6A865BE653B140A833,FUND_0014,,,,fund_total,base_fund,,2017-01-01,2029-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_AB45B31D4DD56D136B55,FUND_0015,,,,fund_total,base_fund,,2009-01-01,2021-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_78BF3EFE9BFEB91ADA67,FUND_0016,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_53AF1635F81BB3604143,FUND_0017,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_B220B42599C85D8CAA1D,FUND_0018,,,,fund_total,base_fund,,2004-01-01,2016-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_DBB56773F0BF2ED9544E,FUND_0019,,,,fund_total,base_fund,,2014-01-01,2026-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_10D20CD9CEDECB5C7363,FUND_0020,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_F1569BCDC38F1999A602,FUND_0021,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_42B1DC53B92A9FCACDA1,FUND_0022,,,,fund_total,base_fund,,2021-01-01,2033-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_91D013C8B00818987732,FUND_0023,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_3737D1454ACBE83A69F9,FUND_0024,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_56D7AE1599AC6B854076,FUND_0025,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_CA9F6281A00766CF0C4D,FUND_0026,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_7C815DE92287BE2FE511,FUND_0027,,,,fund_total,base_fund,,2005-01-01,2017-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_6C83652D68F6297C3F21,FUND_0028,,,,fund_total,base_fund,,2007-01-01,2019-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_26FE6F194DEF5F1ABA64,FUND_0029,,,,fund_total,base_fund,,2002-01-01,2014-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_D084B94AA3C5625699A9,FUND_0030,,,,fund_total,base_fund,,2011-01-01,2023-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_4672EB771CEB8A3BBA1B,FUND_0031,,,,fund_total,base_fund,,2012-01-01,2024-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_8F48773B602A37A28991,FUND_0032,,,,fund_total,base_fund,,2013-01-01,2025-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_1D79BF66AF99C0ABD405,FUND_0033,,,,fund_total,base_fund,,2014-01-01,2026-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_C99781256228574DB83E,FUND_0034,,,,fund_total,base_fund,,2008-01-01,2020-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_8F1A351FB7107675C114,FUND_0035,,,,fund_total,base_fund,,2009-01-01,2021-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_ACF4706B1E5DD669EFC6,FUND_0036,,,,fund_total,base_fund,,2010-01-01,2022-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_96E31EFDC11987374237,FUND_0037,,,,fund_total,base_fund,,2011-01-01,2023-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_21DE453187E92BBC10C7,FUND_0038,,,,fund_total,base_fund,,2012-01-01,2024-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_71DD94AE1B31FE650C60,FUND_0039,,,,fund_total,base_fund,,2013-01-01,2025-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_2DB87C0CD07C7E0AF893,FUND_0040,,,,fund_total,base_fund,,2014-01-01,2026-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_33681068AD528190E2B6,FUND_0041,,,,fund_total,base_fund,,2015-01-01,2027-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_60391FD7259A1AF902D5,FUND_0042,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_4BD58FBE945335194B7E,FUND_0043,,,,fund_total,base_fund,,2017-01-01,2029-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_9D0AD15FA41A03B3DA6F,FUND_0044,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_F90F4B4FD0F238FA2966,FUND_0045,,,,fund_total,base_fund,,2006-01-01,2018-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_1FE29F5C8643331C6726,FUND_0046,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_9C6F710AB8689A6870CD,FUND_0047,,,,fund_total,base_fund,,2019-01-01,2031-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_116A82E9E1D54B0E7CAE,FUND_0048,,,,fund_total,base_fund,,2011-01-01,2023-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_C33E7CA7C777D07C0A9A,FUND_0049,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_9BBB2DB240EB58DC9BD6,FUND_0050,,,,fund_total,base_fund,,2009-01-01,2021-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_8809972B1BF507ECEB78,FUND_0051,,,,fund_total,base_fund,,2011-01-01,2023-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_31D199961629D3009A1C,FUND_0052,,,,fund_total,base_fund,,2014-01-01,2026-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_9AB3A561430019484082,FUND_0053,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_137314FCC05762F22129,FUND_0054,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_8CE45DF288D639EBA003,FUND_0055,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_042185DC599CBEC8FA81,FUND_0056,,,,fund_total,base_fund,,2004-01-01,2016-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_78968C75FC827C68C38E,FUND_0057,,,,fund_total,base_fund,,2008-01-01,2020-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_6588113949CBBBF5DB2B,FUND_0058,,,,fund_total,base_fund,,2017-01-01,2029-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_24C4F5299C2193C93C60,FUND_0059,,,,fund_total,base_fund,,2014-01-01,2026-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_9B13D7656A10A2834E45,FUND_0060,,,,fund_total,base_fund,,2000-01-01,2012-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_7036252B8E4202358890,FUND_0061,,,,fund_total,base_fund,,2021-01-01,2033-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_1EF7C2C5F5F7832516D1,FUND_0062,,,,fund_total,base_fund,,1999-01-01,2011-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_B663230BFBCC74ECBD91,FUND_0063,,,,fund_total,base_fund,,2003-01-01,2015-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_B7147E2AA8F9B1A8E4D7,FUND_0064,,,,fund_total,base_fund,,1999-01-01,2011-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_CBECEC36D4CCCA2658C3,FUND_0065,,,,fund_total,base_fund,,2021-01-01,2033-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_0B579B6D1063C8E7F88D,FUND_0066,,,,fund_total,base_fund,,2008-01-01,2020-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_29CF77A77929DBC68E1F,FUND_0067,,,,fund_total,base_fund,,2016-01-01,2028-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_0B79039B9589AAD1369F,FUND_0068,,,,fund_total,base_fund,,2019-01-01,2031-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_601A26923286901E4081,FUND_0069,,,,fund_total,base_fund,,2020-01-01,2032-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_0F8A21D623A80AB9792E,FUND_0070,,,,fund_total,base_fund,,2019-01-01,2031-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_399F8B4BC44BAD753355,FUND_0071,,,,fund_total,base_fund,,2013-01-01,2025-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_F3B2E02EE079423E8F72,FUND_0072,,,,fund_total,base_fund,,2018-01-01,2030-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_67D278E2F9CA3AF1BB7A,FUND_0073,,,,fund_total,base_fund,,2017-01-01,2029-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_78788695515E490346B1,FUND_0074,,,,fund_total,base_fund,,2011-01-01,2023-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_3F6638E7F8F1CB2FB59E,FUND_0075,,,,fund_total,base_fund,,2009-01-01,2021-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_D56B4D6D53C0458AFEEF,FUND_0076,,,,fund_total,base_fund,,2007-01-01,2019-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_5667E7A7FCEBC4211253,FUND_0077,,,,fund_total,base_fund,,2023-01-01,2035-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
CLAUSEINT_98F14A0703B60727CF5F,FUND_0078,,,,fund_total,base_fund,,2002-01-01,2014-12-31,,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,,SYNTHETIC,,data/integrated/cell-lineage.csv,,INTEGRATED_COMPLETION_V1,ACTIVE
