input_value,output_value,decided_by,evidence,note,unit_hint,preferred_family,qualified,required_dimensions,disposition
carried_interest,"Carried interest accrued, realized, or unrealized, as an amount.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fund_economics_observation,no,,evidence_only
beginning_capital,"Opening balance of a capital account, partners' capital, or net assets for a period, at the entity or partner grain printed by the statement.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,yes,value_scope,promoted
ending_capital,"Closing balance of a capital account, partners' capital, or net assets for a period, at the entity or partner grain printed by the statement. A residual closing balance may also represent NAV.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,yes,value_scope,promoted
return,"The return printed for a period or horizon, as a percent, under the method, fee basis, and hedge treatment stated by the report. Methods include time-weighted, Modified Dietz, holding-period, annualized, and money-weighted. Every return row states its own method and fee_basis, read from the footnote or header it cites, or unstated. A figure labelled IRR uses irr.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,performance_observation,yes,method|fee_basis,evidence_only
irr,"Internal rate of return, net or gross, since inception or for a horizon, where the page labels it IRR. A money-weighted return printed under another label stays return, with its method recorded.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,performance_observation,yes,fee_basis,promoted
alpha,"Return minus the stated benchmark's return (value added, excess return).","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,performance_observation,no,,evidence_only
pme,Public market equivalent ratio (Kaplan-Schoar or as printed).,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,x,performance_observation,no,,evidence_only
direct_alpha,Direct alpha against a stated public index.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,performance_observation,no,,evidence_only
sharpe_ratio,Sharpe ratio as printed.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,ratio,performance_observation,no,,evidence_only
tracking_error,Tracking error against the stated benchmark.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,performance_observation,no,,evidence_only
yield,"A rate of income as a percent: distribution rate, income yield, or investment yield. Total-period performance uses return.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,performance_observation,no,,evidence_only
aum,"Assets under management or total assets at manager, plan, endowment, pool, fund, or asset-class scope.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,performance_observation,yes,value_scope,evidence_only
cash,Cash and cash equivalents at a date or a period's opening or closing balance.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
total_assets,Total assets.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
total_liabilities,Total liabilities.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
net_assets,"Net assets of the reporting entity as printed, restricted or unrestricted: total assets less total liabilities at statement grain.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
partners_capital,"Partners' capital by partner class or in total, and its change from operations, at the entity grain of the statement. Position-level closing capital uses ending_capital.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
net_investment_income,Net investment income or loss for a period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
investment_fair_value,"Investments at fair value as a line of a financial statement or note, including the Level 1, 2, and 3 hierarchy lines. The amount precedes the entity's other assets and liabilities in the NAV build-up.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,yes,value_scope,evidence_only
investment_cost,Cost basis of investments on a statement.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
fund_expense,"An expense line or an expense ratio of the fund (professional fees, organizational expenses, total expenses).","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency or %,financial_statement_observation,no,,evidence_only
interest_expense,Interest expense for a period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,evidence_only
realized_gain_loss,Realized gain or loss on investments for a period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,promoted
unrealized_gain_loss,Change in unrealized gain or loss for a period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financial_statement_observation,no,,promoted
quantity,"Shares, units, or par held.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,position_observation,no,,promoted
cost,Cost of a holding.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,position_observation,no,,promoted
fair_value,Fair or market value of one named holding on a schedule of investments. Fund residual value uses nav; statement investment lines use investment_fair_value.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,position_observation,yes,value_scope,promoted
market_value,Market value under that printed heading for one holding or one allocation bucket. The same measure as fair_value at holding grain; at fund grain the residual value is nav.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,position_observation,yes,value_scope,promoted
notional,"Notional, par, purchase, or sale amount of a contract or security.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,position_observation,no,,promoted
portfolio_weight,A holding's share of the portfolio or of partners' capital.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,position_observation,no,,promoted
interest_rate,Coupon or yield printed on a holding.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,position_observation,no,,promoted
maturity_date,Maturity or settlement date printed on a holding.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,date,position_observation,no,,promoted
actual_allocation,"Actual share of a portfolio in an asset class, strategy, vintage, geography, or industry bucket.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,allocation_observation,no,,evidence_only
target_allocation,Target or policy weight of a bucket or benchmark component.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,allocation_observation,no,,evidence_only
management_fee,Management fee as an amount or as a rate; the unit column says which. The contractual clause is the term-vocabulary management_fee.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency or %,fee_observation,no,,evidence_only
performance_fee,Incentive or performance fee rate or amount.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,% or currency,fee_observation,no,,evidence_only
cost_bps,Fee or cost expressed in basis points.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,bps,fee_observation,no,,evidence_only
offset,"A fee offset, adjustment, or rebate amount.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fee_observation,no,,evidence_only
fee_benchmark,A peer or benchmark fee level the report compares against.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,bps or currency,fee_observation,no,,evidence_only
nav_aum_denominator,The asset base a fee is measured on.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,fee_observation,no,,evidence_only
capital_call,A dated capital call amount.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,cash_flow_observation,no,,promoted
return_of_capital,The return-of-capital component of a distribution.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,cash_flow_observation,no,,promoted
preferred_return,The preferred-return component of a distribution.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,cash_flow_observation,no,,promoted
expense,An expense or tax charge in a capital-account or cash-flow statement.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,cash_flow_observation,no,,promoted
interest,Interest paid or charged in a capital-account statement.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,cash_flow_observation,no,,evidence_only
net_cash_flow,Net cash movement after the page combines cash inflows and outflows.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,cash_flow_observation,no,,evidence_only
nav_per_share,NAV per share or unit by class.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,nav_observation,no,,evidence_only
shares_units,"Shares or units outstanding, issued, or sold.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,nav_observation,no,,promoted
transaction_price,Transaction price per share by class.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,nav_observation,no,,evidence_only
nav_component,"A line of the NAV build-up: investments, cash, debt, other assets and liabilities.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,nav_observation,no,,evidence_only
repurchase_limit,A repurchase or redemption limit as a share of NAV or an amount.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,% or currency,nav_observation,no,,evidence_only
request_satisfaction,Share or amount of repurchase requests satisfied.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,% or currency,nav_observation,no,,evidence_only
valuation_assumption,"A discount rate, exit capitalization rate, or other valuation input.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,nav_observation,no,,evidence_only
valuation_sensitivity,Change in value for a stated change in an assumption.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,nav_observation,no,,evidence_only
method,The valuation method or principle stated.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,text,valuation_observation,no,,qualitative
frequency,How often NAV or appraisals are produced.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,text,valuation_observation,no,,qualitative
valuer,Who values or calculates NAV.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,text,valuation_observation,no,,qualitative
oversight,Who approves or oversees valuations.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,text,valuation_observation,no,,qualitative
independent_review,Independent review or appraisal of valuations.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,text,valuation_observation,no,,qualitative
enterprise_value,Enterprise value of a company or portfolio company.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,valuation_observation,no,,evidence_only
outstanding_balance,Balance drawn on a credit facility or loan.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,financing_observation,no,,evidence_only
staff_count,Employees or investment professionals at the firm.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,ddq_quantitative_observation,no,,evidence_only
lockup,Lock-up period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,years or months,ddq_quantitative_observation,no,,evidence_only
redemption_notice,Redemption notice period or fee.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,days or %,ddq_quantitative_observation,no,,evidence_only
position_limit,Position or exposure limit.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,ddq_quantitative_observation,no,,evidence_only
leverage,Leverage ratio or policy limit.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,x,ddq_quantitative_observation,no,,evidence_only
liquidity,"Redemption proceeds timing in days, or a withdrawal size as a percent of proceeds or of NAV; the unit column says which.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,% or days,ddq_quantitative_observation,no,,evidence_only
minimum_investment,Minimum initial investment.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,currency,ddq_quantitative_observation,no,,evidence_only
service_provider_count,Number of service providers or counterparties stated.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,ddq_quantitative_observation,no,,evidence_only
meeting_count,Meetings held or voted at.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,stewardship_observation,no,,evidence_only
vote_count,"Proposals, directors, or votes counted.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,stewardship_observation,no,,evidence_only
engagement_count,"Engagements, milestones, or companies engaged.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,count,stewardship_observation,no,,evidence_only
coverage,"Share or count of a universe covered, held, or voted.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,% or count,stewardship_observation,no,,evidence_only
score,Support percentage or assessment score.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,%,stewardship_observation,no,,evidence_only
target,A stated target year or level.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,year,stewardship_observation,no,,evidence_only
