defect_id,parameter_set_id,record_table,record_id,fund_id,defect_type,field_name,clean_value,injected_value,expected_rule_id,seed,notes
DEFECT_000021,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000422,FUND_SYNTH_000422,missing_fund_name,fund_name,Synthetic Venture Fund 0422,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000022,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000019_001_DUP,FUND_SYNTH_000019,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000019_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000023,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000279_001,FUND_SYNTH_000279,currency_mismatch,currency,EUR,USD,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000024,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000415,FUND_REAL_COLLISION_000415,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000415,FUND_REAL_COLLISION_000415,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000025,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000282_20230630,FUND_SYNTH_000282,tvpi_component_mismatch,tvpi,1.364067,1.614067,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000026,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000069_20190630,FUND_SYNTH_000069,dpi_recompute_mismatch,dpi,0.000000,0.200000,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000027,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000768_20250331,FUND_SYNTH_000768,rvpi_recompute_mismatch,rvpi,1.062055,1.262055,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000028,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000762_20230930,FUND_SYNTH_000762,commitment_reconciliation_mismatch,unfunded_commitment,64.99,119.81,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000029,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000120_20220930,FUND_SYNTH_000120,nav_rollforward_mismatch,ending_nav,148.79,163.67,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000030,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000270_20220331,FUND_SYNTH_000270,irr_recompute_mismatch,reported_irr,0.07948067,0.22948067,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000031,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000174_001,FUND_SYNTH_000174,cashflow_sign_error,amount,-49.75,49.75,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000032,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000238_20230930,FUND_SYNTH_000238,impossible_vintage,vintage_year,2015,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000033,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000360,FUND_SYNTH_000360,missing_fund_name,fund_name,Synthetic Private Credit Fund 0360,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000034,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000143_001_DUP,FUND_SYNTH_000143,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000143_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000035,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000711_001,FUND_SYNTH_000711,currency_mismatch,currency,EUR,USD,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000036,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000617,FUND_REAL_COLLISION_000617,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000617,FUND_REAL_COLLISION_000617,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000037,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000505_20230930,FUND_SYNTH_000505,tvpi_component_mismatch,tvpi,1.787921,2.037921,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000038,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000580_20240630,FUND_SYNTH_000580,dpi_recompute_mismatch,dpi,0.641548,0.841548,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000039,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000037_20230930,FUND_SYNTH_000037,rvpi_recompute_mismatch,rvpi,0.577230,0.777230,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000040,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000331_20260331,FUND_SYNTH_000331,commitment_reconciliation_mismatch,unfunded_commitment,231.70,286.82,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000041,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000790_20260630,FUND_SYNTH_000790,nav_rollforward_mismatch,ending_nav,315.95,347.55,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000042,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000488_20200630,FUND_SYNTH_000488,irr_recompute_mismatch,reported_irr,0.06612277,0.21612277,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000043,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000733_001,FUND_SYNTH_000733,cashflow_sign_error,amount,-251.90,251.90,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000044,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000182_20241231,FUND_SYNTH_000182,impossible_vintage,vintage_year,2024,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000045,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000134,FUND_SYNTH_000134,missing_fund_name,fund_name,Synthetic Buyout Fund 0134,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000046,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000793_001_DUP,FUND_SYNTH_000793,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000793_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000047,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000325_001,FUND_SYNTH_000325,currency_mismatch,currency,GBP,EUR,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000048,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000230,FUND_REAL_COLLISION_000230,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000230,FUND_REAL_COLLISION_000230,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000049,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000546_20220930,FUND_SYNTH_000546,tvpi_component_mismatch,tvpi,1.164047,1.414047,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000050,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000024_20190630,FUND_SYNTH_000024,dpi_recompute_mismatch,dpi,0.000000,0.200000,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000051,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000193_20231231,FUND_SYNTH_000193,rvpi_recompute_mismatch,rvpi,1.214629,1.414629,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000052,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000423_20240331,FUND_SYNTH_000423,commitment_reconciliation_mismatch,unfunded_commitment,356.73,424.65,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000053,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000710_20230930,FUND_SYNTH_000710,nav_rollforward_mismatch,ending_nav,307.60,338.36,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000054,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000760_20250331,FUND_SYNTH_000760,irr_recompute_mismatch,reported_irr,0.03979281,0.18979281,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000055,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000715_001,FUND_SYNTH_000715,cashflow_sign_error,amount,-74.41,74.41,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000056,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000214_20170630,FUND_SYNTH_000214,impossible_vintage,vintage_year,2013,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000057,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000443,FUND_SYNTH_000443,missing_fund_name,fund_name,Synthetic Fund Of Funds Fund 0443,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000058,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000565_001_DUP,FUND_SYNTH_000565,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000565_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000059,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000626_001,FUND_SYNTH_000626,currency_mismatch,currency,USD,EUR,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000060,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000759,FUND_REAL_COLLISION_000759,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000759,FUND_REAL_COLLISION_000759,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000061,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000483_20241231,FUND_SYNTH_000483,tvpi_component_mismatch,tvpi,1.377241,1.627241,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000062,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000188_20190331,FUND_SYNTH_000188,dpi_recompute_mismatch,dpi,0.021152,0.221152,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000063,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000602_20240630,FUND_SYNTH_000602,rvpi_recompute_mismatch,rvpi,0.934826,1.134826,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000064,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000246_20250930,FUND_SYNTH_000246,commitment_reconciliation_mismatch,unfunded_commitment,209.45,252.89,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000065,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000364_20251231,FUND_SYNTH_000364,nav_rollforward_mismatch,ending_nav,97.40,107.40,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000066,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000612_20220331,FUND_SYNTH_000612,irr_recompute_mismatch,reported_irr,0.48511483,0.63511483,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000067,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000620_001,FUND_SYNTH_000620,cashflow_sign_error,amount,-56.22,56.22,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000068,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000766_20220930,FUND_SYNTH_000766,impossible_vintage,vintage_year,2015,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000069,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000076,FUND_SYNTH_000076,missing_fund_name,fund_name,Synthetic Real Estate Fund 0076,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000070,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000615_001_DUP,FUND_SYNTH_000615,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000615_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000071,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000722_001,FUND_SYNTH_000722,currency_mismatch,currency,USD,EUR,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000072,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000593,FUND_REAL_COLLISION_000593,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000593,FUND_REAL_COLLISION_000593,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000073,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000756_20251231,FUND_SYNTH_000756,tvpi_component_mismatch,tvpi,1.789525,2.039525,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000074,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000698_20180930,FUND_SYNTH_000698,dpi_recompute_mismatch,dpi,0.000000,0.200000,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000075,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000353_20181231,FUND_SYNTH_000353,rvpi_recompute_mismatch,rvpi,0.886690,1.086690,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000076,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000336_20210331,FUND_SYNTH_000336,commitment_reconciliation_mismatch,unfunded_commitment,583.32,675.93,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000077,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000542_20240331,FUND_SYNTH_000542,nav_rollforward_mismatch,ending_nav,326.07,358.68,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000078,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000588_20230930,FUND_SYNTH_000588,irr_recompute_mismatch,reported_irr,0.41135661,0.56135661,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000079,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000624_001,FUND_SYNTH_000624,cashflow_sign_error,amount,-114.11,114.11,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000080,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000219_20251231,FUND_SYNTH_000219,impossible_vintage,vintage_year,2022,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000081,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000354,FUND_SYNTH_000354,missing_fund_name,fund_name,Synthetic Venture Fund 0354,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000082,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000228_001_DUP,FUND_SYNTH_000228,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000228_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000083,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000504_001,FUND_SYNTH_000504,currency_mismatch,currency,USD,EUR,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000084,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_REAL_COLLISION_000158,FUND_REAL_COLLISION_000158,synthetic_real_identity_collision,fund_id,FUND_SYNTH_000158,FUND_REAL_COLLISION_000158,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000085,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000085_20251231,FUND_SYNTH_000085,tvpi_component_mismatch,tvpi,1.022008,1.272008,R02_TVPI_COMPONENTS,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000086,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000471_20251231,FUND_SYNTH_000471,dpi_recompute_mismatch,dpi,1.465200,1.665200,R03_DPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000087,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000566_20240630,FUND_SYNTH_000566,rvpi_recompute_mismatch,rvpi,0.894170,1.094170,R04_RVPI_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000088,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000349_20160630,FUND_SYNTH_000349,commitment_reconciliation_mismatch,unfunded_commitment,80.26,109.40,R06_COMMITMENT_RECONCILIATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000089,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000181_20260630,FUND_SYNTH_000181,nav_rollforward_mismatch,ending_nav,733.13,806.44,R07_NAV_ROLLFORWARD,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000090,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000170_20240331,FUND_SYNTH_000170,irr_recompute_mismatch,reported_irr,0.05127024,0.20127024,R08_XIRR_RECOMPUTE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000091,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000237_001,FUND_SYNTH_000237,cashflow_sign_error,amount,-172.66,172.66,R15_CASHFLOW_SIGN_CONVENTION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000092,SYNTH_ASSUMED_DEMO_V1,fund_periods,FP_FUND_SYNTH_000721_20230930,FUND_SYNTH_000721,impossible_vintage,vintage_year,2021,2027,R09_VINTAGE_DATE,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000093,SYNTH_ASSUMED_DEMO_V1,fund_master,FUND_SYNTH_000061,FUND_SYNTH_000061,missing_fund_name,fund_name,Synthetic Secondaries Fund 0061,<BLANK>,R12_SYNTHETIC_IDENTITY_SEPARATION,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000094,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000638_001_DUP,FUND_SYNTH_000638,duplicate_cashflow,economic_cashflow,unique,duplicate_of:CF_FUND_SYNTH_000638_001,R13_DUPLICATE_CASHFLOW,20260903,Deliberate synthetic defect for quality-engine evaluation.
DEFECT_000095,SYNTH_ASSUMED_DEMO_V1,fund_cashflows,CF_FUND_SYNTH_000729_001,FUND_SYNTH_000729,currency_mismatch,currency,EUR,USD,R14_CURRENCY_CONSISTENCY,20260903,Deliberate synthetic defect for quality-engine evaluation.
